//                              Eps	Mu	Kap	Rho	K	Cap	Flw	Met	R	G	B
// Values to be set by VBA macro after import
Proximalis III right            1	1	1	1	1	1	1	1	220	220	220
Proximalis IV left              1	1	1	1	1	1	1	1	220	220	220
Proximalis IV right             1	1	1	1	1	1	1	1	220	220	220
Proximalis IV marrow left       1	1	1	1	1	1	1	1	200	220	240
Proximalis IV marrow right      1	1	1	1	1	1	1	1	200	220	240
Proximalis V left               1	1	1	1	1	1	1	1	220	220	220
Proximalis V right              1	1	1	1	1	1	1	1	220	220	220
Radius left                     1	1	1	1	1	1	1	1	220	220	220
Radius right                    1	1	1	1	1	1	1	1	220	220	220
Radius marrow left              1	1	1	1	1	1	1	1	200	220	240
Radius marrow right             1	1	1	1	1	1	1	1	200	220	240
Scaphoideum left                1	1	1	1	1	1	1	1	220	220	220
Scaphoideum right               1	1	1	1	1	1	1	1	220	220	220
Talus left                      1	1	1	1	1	1	1	1	220	220	220
Talus right                     1	1	1	1	1	1	1	1	220	220	220
Talus marrow left               1	1	1	1	1	1	1	1	200	220	240
Talus marrow right              1	1	1	1	1	1	1	1	200	220	240
Tibia left                      1	1	1	1	1	1	1	1	220	220	220
Tibia right                     1	1	1	1	1	1	1	1	220	220	220
Tibia marrow left               1	1	1	1	1	1	1	1	200	220	240
Tibia marrow right              1	1	1	1	1	1	1	1	200	220	240
Trapezium left                  1	1	1	1	1	1	1	1	220	220	220
Trapezium right                 1	1	1	1	1	1	1	1	220	220	220
Trapezium marrow left           1	1	1	1	1	1	1	1	200	220	240
Trapezium marrow right          1	1	1	1	1	1	1	1	200	220	240
Trapezoideum left               1	1	1	1	1	1	1	1	220	220	220
Trapezoideum right              1	1	1	1	1	1	1	1	220	220	220
Triquetrum left                 1	1	1	1	1	1	1	1	220	220	220
Triquetrum right                1	1	1	1	1	1	1	1	220	220	220
Ulna left                       1	1	1	1	1	1	1	1	220	220	220
Ulna right                      1	1	1	1	1	1	1	1	220	220	220
Ulna marrow left                1	1	1	1	1	1	1	1	200	220	240
Ulna marrow right               1	1	1	1	1	1	1	1	200	220	240
undefined                       1	1	1	1	1	1	1	1	255	0	255
