basis_index,Re_J,Im_J,magnitude_J,phase_deg
178,4.898566612640e-03,-3.188100706261e-03,5.844650628715e-03,-33.057011
179,2.507611535148e-02,-7.437171823148e-04,2.508714165400e-02,-1.698803
180,2.893565733933e-02,-5.749129070615e-02,6.436241739337e-02,-63.283657
181,-1.224734444854e-02,-9.134575247757e-03,1.527867504066e-02,-143.282904
182,6.859655339176e-03,1.885131200003e-02,2.006057914156e-02,70.004458
183,-5.683466292248e-03,6.057288966721e-03,8.306174734586e-03,133.176333
184,-2.836804524709e-02,5.468919119135e-03,2.889039749593e-02,169.088131
185,-3.920080954536e-03,-2.414907076821e-03,4.604216641275e-03,-148.365477
186,8.230439961759e-03,-3.488587564495e-03,8.939260884395e-03,-22.970341
187,-8.219046722441e-03,-2.544539706082e-03,8.603918371387e-03,-162.797966
188,-2.849365691750e-03,-1.234524967561e-04,2.852038808340e-03,-177.519137
189,-9.540945945154e-04,5.907338265025e-04,1.122168859423e-03,148.236012
190,2.583013534338e-03,-6.133010346123e-03,6.654755805003e-03,-67.160844
191,2.551660472384e-04,-3.904438860597e-03,3.912767885756e-03,-86.260877
192,-4.713985375560e-03,-4.333259517229e-03,6.403030232995e-03,-137.409697
193,-5.069167445211e-03,-6.450422631196e-03,8.203926542128e-03,-128.162599
194,-6.466573557359e-03,5.203904285161e-03,8.300433324945e-03,141.175008
195,1.997558873020e-03,4.387630601937e-03,4.820948428498e-03,65.521625
196,3.206578690845e-04,4.489735628884e-03,4.501171790354e-03,85.914860
197,4.303824338147e-03,-1.952327813360e-02,1.999203073766e-02,-77.568221
198,-7.539957718673e-03,8.858973772259e-04,7.591823006522e-03,173.298831
199,7.173414687129e-03,-6.593274284504e-03,9.743158833983e-03,-42.586933
200,-2.514645618996e-03,9.896245755719e-03,1.021073565649e-02,104.257176
201,4.291964169124e-03,-1.982245832799e-03,4.727605627661e-03,-24.789878
202,-1.169973569108e-03,-3.358856116851e-02,3.360893154391e-02,-91.994949
203,4.672755812731e-03,-6.647599625524e-03,8.125590911847e-03,-54.895705
204,-5.510679462133e-03,1.004777498333e-03,5.601532464918e-03,169.666615
205,-1.495542965162e-02,-6.405610453287e-03,1.626950279953e-02,-156.813902
206,3.614312446175e-03,-1.691816153879e-02,1.729992613601e-02,-77.940891
207,1.053091576953e-02,2.124733200620e-02,2.371390529471e-02,63.635387
208,-5.959142860798e-03,-2.486891898819e-03,6.457245151906e-03,-157.348063
209,2.361083065043e-02,-6.234700136871e-03,2.442013124044e-02,-14.791946
210,1.311849212762e-02,6.400711235918e-03,1.459670990423e-02,26.008450
211,2.292850241331e-03,1.050264076763e-02,1.075000582898e-02,77.684876
212,6.157578325609e-04,1.342915401733e-02,1.344326356692e-02,87.374695
213,6.423952189531e-03,-2.378151843430e-02,2.463387466020e-02,-74.883818
214,-3.979774002322e-02,-1.423081562735e-01,1.477683032755e-01,-105.624121
215,5.369053683892e-02,-2.432798072749e-01,2.491339767550e-01,-77.554627
216,7.681399148198e-03,3.154413311817e-02,3.246592409051e-02,76.314114
217,6.186260878846e-03,2.374450017698e-03,6.626298857408e-03,20.998119
218,-1.869596534301e-02,5.723456928709e-03,1.955241875886e-02,162.978908
219,-2.855526658608e-03,1.305426435177e-03,3.139772392337e-03,155.432118
220,-4.395940470740e-03,-6.265903531184e-02,6.281304799827e-02,-94.013098
221,-6.253878829012e-03,-3.070184546561e-03,6.966852485729e-03,-153.852431
222,4.874613684114e-03,1.763689089216e-03,5.183865138366e-03,19.890684
223,2.806534972872e-03,-1.106484213094e-02,1.141522535636e-02,-75.767401
224,8.774808964858e-04,7.260782692083e-03,7.313613199052e-03,83.109102
225,-5.104851200020e-02,3.373036538132e-02,6.118568563146e-02,146.545218
226,3.847295946893e-03,2.514804001500e-04,3.855506256594e-03,3.739847
227,-3.665058628290e-03,-1.140480889854e-04,3.666832654404e-03,-178.217664
228,1.261679403127e-02,4.114213906897e-03,1.327065362743e-02,18.060644
229,-7.889135064040e-03,-1.489344014433e-03,8.028486635225e-03,-169.309281
230,-9.668469454471e-03,7.043544289212e-04,9.694091847800e-03,175.833325
231,1.238111782709e-03,2.097918455983e-04,1.255760090528e-03,9.617136
232,2.721476057901e-03,-4.342932191195e-03,5.125182138329e-03,-57.926897
233,-1.242573640691e-02,-7.171799551732e-03,1.434690329180e-02,-150.007618
234,-7.355402966059e-03,4.188647234358e-03,8.464438460230e-03,150.339986
235,3.376908854710e-03,-1.167350667759e-03,3.572984885854e-03,-19.069560
236,4.795907554425e-02,-2.830224486961e-02,5.568743118261e-02,-30.546268
237,1.373507174515e-02,1.577977226944e-02,2.092016751175e-02,48.962949
238,5.472714438041e-03,2.175232283263e-03,5.889162827304e-03,21.676268
239,6.965786182325e-04,-1.218733018934e-02,1.220722076950e-02,-86.728763
240,4.800242242624e-04,1.682619400048e-03,1.749751782767e-03,74.077405
241,-4.128740572734e-02,-5.195649933316e-02,6.636360218260e-02,-128.472527
242,8.619607335183e-03,1.315937112305e-02,1.573107367495e-02,56.774533
243,1.171200834985e-02,6.181900183124e-04,1.172831183443e-02,3.021415
244,-3.385663396473e-03,-1.261375172227e-02,1.306022393167e-02,-105.024658
245,4.481343023954e-03,-1.145363447428e-03,4.625396493821e-03,-14.337012
246,-2.416052860495e-02,-1.847651770514e-02,3.041566782070e-02,-142.593417
247,-2.220518742210e-02,7.729677711240e-03,2.351208765657e-02,160.806873
248,1.993329081296e-02,6.242236533879e-02,6.552776340700e-02,72.290193
249,4.951020854363e-03,-7.075480697140e-03,8.635683794346e-03,-55.017849
250,3.609512481378e-03,-2.811771888625e-02,2.834845138133e-02,-82.684865
251,3.669263794234e-03,2.486463585946e-03,4.432380619477e-03,34.123391
252,4.148529310752e-02,5.692929875981e-02,7.044128478031e-02,53.918576
253,9.579492310702e-04,-2.338541308555e-03,2.527141108273e-03,-67.724258
254,8.462367513911e-03,1.231748809074e-02,1.494430248643e-02,55.510135
255,1.845749218541e-02,-3.503841605187e-02,3.960264659336e-02,-62.220693
256,-3.079070034400e-02,6.780513328511e-02,7.446880774852e-02,114.423072
257,8.662004522896e-03,-7.028250064161e-03,1.115466814025e-02,-39.055474
258,6.403883167270e-03,6.509408108663e-03,9.131380703112e-03,45.468200
259,-4.946863879329e-03,-6.796377745681e-03,8.406081887693e-03,-126.049664
260,9.964368034718e-03,-3.293414432842e-03,1.049453233631e-02,-18.289710
261,5.174886573110e-03,-1.360744210056e-03,5.350801421260e-03,-14.732503
262,6.228805218670e-03,-5.072665628167e-03,8.033053655199e-03,-39.158966
263,-3.812607853413e-03,1.790890474224e-02,1.831023887640e-02,102.018220
264,1.068096084374e-02,2.601646937186e-02,2.812364846748e-02,67.679588
265,5.233884800329e-02,4.703084749653e-02,7.036515918090e-02,41.942355
266,1.338445276580e-02,-1.698632123662e-02,2.162587998195e-02,-51.763489
267,1.614037150198e-03,1.528591079781e-03,2.222994964323e-03,43.442548
268,-1.356831071288e-03,-3.098247977122e-03,3.382326282864e-03,-113.650291
269,-1.140839823243e-02,3.084235367320e-03,1.181795490052e-02,164.871853
270,-1.915994558491e-03,6.316675365026e-03,6.600865308070e-03,106.873771
271,7.078622355408e-03,9.136826421331e-03,1.155804877581e-02,52.233791
272,-9.485864490530e-03,-1.182675476359e-02,1.516092851282e-02,-128.731993
273,-2.886152072919e-03,3.064493130876e-03,4.209630855217e-03,133.283357
274,8.535079407635e-03,1.633389672836e-02,1.842942654635e-02,62.411228
275,-1.043545285301e-02,-9.243725803992e-03,1.394077268256e-02,-138.465472
276,2.561961076964e-03,-1.837740571800e-03,3.152924827699e-03,-35.652552
277,-3.187802991547e-02,-5.236342493112e-02,6.130364639896e-02,-121.332398
278,-2.950816319321e-03,2.429484446549e-03,3.822265248043e-03,140.534478
279,-4.160413957904e-03,-3.793234367857e-03,5.630068496086e-03,-137.643179
280,-2.647460648553e-03,-2.448998528766e-03,3.606472193090e-03,-137.230038
281,1.198418340327e-01,-1.790592401369e-02,1.211721391207e-01,-8.497868
282,-1.911756673029e-04,3.381309443503e-03,3.386709566599e-03,93.235998
283,1.436725691781e-02,-6.527927159595e-03,1.578074473348e-02,-24.435215
284,-7.630545345092e-03,-4.259885497313e-03,8.739098735781e-03,-150.826796
285,3.184586917535e-02,5.753650916500e-02,6.576176146081e-02,61.035921
286,-7.627902063446e-03,-8.693557666714e-03,1.156558838944e-02,-131.264364
287,-4.063493432783e-02,-2.052467375566e-02,4.552428056107e-02,-153.201695
288,5.251047620430e-03,-4.076868155356e-02,4.110546066799e-02,-82.660653
289,2.631631467380e-02,3.795982758552e-03,2.658867998065e-02,8.207985
290,-5.426617990000e-02,-2.946309808663e-03,5.434610402253e-02,-176.892253
291,3.569033480004e-04,-8.691509479830e-04,9.395761651902e-04,-67.675256
292,-1.491598190069e-03,-2.650702927866e-03,3.041560647499e-03,-119.367240
293,-1.025485200397e-02,-9.901732128698e-03,1.425504432725e-02,-136.003653
294,1.011504721391e-03,2.680265584255e-04,1.046412938289e-03,14.841052
295,2.134093235717e-02,3.224134238698e-04,2.134336768857e-02,0.865544
296,3.679471890970e-03,1.754630113803e-02,1.792794458445e-02,78.156645
297,8.293920299433e-03,1.074062831749e-02,1.357019567242e-02,52.324656
298,-1.117570927654e-02,-4.291811071555e-03,1.197147109204e-02,-158.991697
299,1.492131866452e-02,1.785123383965e-02,2.326611914966e-02,50.108746
300,-1.967347288871e-02,-1.732710133166e-03,1.974962834861e-02,-174.966752
301,-4.147110962749e-03,3.259402728082e-03,5.274678708811e-03,141.834587
302,-4.144546639551e-03,-4.170259366847e-02,4.190803724258e-02,-95.675614
303,-1.096888573744e-02,-1.124136116492e-02,1.570619798555e-02,-134.297130
304,2.535518609067e-02,4.710471273390e-02,5.349522804359e-02,61.707628
305,-2.559043878194e-03,-1.390396825679e-02,1.413750468988e-02,-100.428653
306,1.453916755737e-04,-2.081667163223e-02,2.081717936185e-02,-89.599831
307,-2.790385493506e-03,3.457871538014e-02,3.469112002434e-02,94.613579
308,7.484804342765e-04,2.033477908318e-03,2.166853793894e-03,69.792400
309,3.448513972374e-02,-2.538336257178e-02,4.281985470803e-02,-36.355547
310,5.793533252899e-02,-4.528895080549e-02,7.353632993499e-02,-38.015293
311,-4.018050725676e-03,-4.891494352788e-02,4.907969470127e-02,-94.695940
312,-3.937638328434e-02,2.991411066061e-02,4.945051644999e-02,142.776181
313,4.842249286296e-02,-1.647035114725e-02,5.114694792435e-02,-18.785143
314,-1.580765043791e-02,4.239307822796e-02,4.524439074636e-02,110.449621
315,-6.074745947036e-02,1.248740959690e-02,6.201765257202e-02,168.383939
316,2.158008121149e-03,-1.974642931109e-02,1.986399933520e-02,-83.763125
317,7.746703036692e-03,-8.725474043703e-03,1.166813203671e-02,-48.400497
318,9.941711211650e-03,-3.058106015237e-03,1.040142462436e-02,-17.098085
319,1.919096065896e-03,-1.825148990809e-03,2.648414346131e-03,-43.562690
320,-6.006179019505e-03,2.415409638879e-03,6.473668985817e-03,158.092271
321,-8.825809153039e-04,-5.128964597445e-04,1.020789816993e-03,-149.837736
322,1.447097996292e-03,1.739204314999e-02,1.745214191846e-02,85.243683
323,4.122560969914e-02,2.158575006954e-02,4.653488477616e-02,27.636577
324,1.489180364070e-02,-1.415668718270e-02,2.054696103227e-02,-43.550352
325,2.691391025190e-03,-7.227941614541e-03,7.712763812907e-03,-69.576719
326,1.854516605803e-03,-5.174826167058e-03,5.497095387609e-03,-70.283705
327,-2.594930179339e-03,-1.259947262531e-02,1.286391748541e-02,-101.637652
328,7.824615012011e-03,3.554353082293e-03,8.594069229405e-03,24.430055
329,5.990385233921e-04,2.197727876046e-03,2.277905829848e-03,74.753176
330,2.847089788713e-03,1.059310374922e-02,1.096903675382e-02,74.956225
331,5.640547165090e-02,3.028529469274e-02,6.402168622261e-02,28.232295
332,4.819465454753e-02,6.078185656722e-03,4.857642502113e-02,7.188046
333,-4.038734130857e-03,-1.850106335606e-03,4.442326736385e-03,-155.387927
334,4.732419250636e-02,-2.833463972555e-03,4.740894129237e-02,-3.426407
335,1.032458399991e-01,-1.835852325854e-02,1.048653367579e-01,-10.082592
336,-4.229314573483e-02,6.805794999415e-02,8.012861370043e-02,121.857993
337,5.054933549481e-02,-3.947538871168e-02,6.413689759339e-02,-37.987272
338,-4.292800600586e-03,-7.481289452299e-02,7.493595481412e-02,-93.284059
339,3.020000376211e-03,-2.059260945623e-03,3.655264411022e-03,-34.289076
340,-4.627682774661e-03,-1.526723751006e-03,4.873020959813e-03,-161.741705
341,1.645020168094e-02,-8.082916169128e-03,1.832873888572e-02,-26.167502
342,-7.329793365615e-03,-3.005588017168e-02,3.093673873692e-02,-103.705325
343,1.393490220047e-02,4.441289158171e-03,1.462554439066e-02,17.677961
344,-3.481937899904e-03,2.006960760542e-03,4.018928095045e-03,150.041200
345,4.148357552777e-03,-4.069703109800e-03,5.811312570117e-03,-44.451643
346,-9.095822440095e-03,-8.587460647446e-03,1.250913531117e-02,-136.646695
347,-8.794716891767e-03,1.095501259850e-02,1.404846419505e-02,128.757601
348,-3.818087265269e-03,1.222093725386e-02,1.280347990696e-02,107.349943
349,3.170623793071e-03,1.801810676472e-02,1.829494538451e-02,80.019907
350,-1.087721760082e-02,-2.061571098756e-03,1.107085986411e-02,-169.267965
351,-5.439320147449e-03,2.206917398763e-03,5.869981948133e-03,157.915930
352,2.546528149642e-03,-3.241350200466e-03,4.122033083199e-03,-51.845473
353,-3.595010258273e-04,-8.223313445218e-03,8.231167900479e-03,-92.503223
354,-6.033703615716e-03,2.594136108702e-03,6.567733358837e-03,156.735152
355,-1.370935463741e-03,-2.524394613190e-04,1.393983402833e-03,-169.566619
356,-6.334121795415e-03,-5.127010815601e-03,8.149069813324e-03,-141.012348
357,-1.117677316707e-03,-1.377784631020e-03,1.774117547897e-03,-129.049426
358,1.076075585771e-03,-1.992119094210e-02,1.995023276100e-02,-86.908080
359,1.684316364331e-03,-4.119141514514e-04,1.733953541280e-03,-13.742443
