element_index,cx,cy,cz,Re_J,Im_J,magnitude_J
2672,-8.042363757580e+01,-9.341628767255e+00,3.400000000000e+01,-7.856061906807e-03,-1.802403845067e-02,1.966173112305e-02
2673,-7.788110073997e+01,-9.921946208430e+00,3.200000000000e+01,1.388623874494e-01,-2.224600494664e-01,2.622427048685e-01
2674,-7.838468134248e+01,-1.096764210443e+01,3.200000000000e+01,1.209569256333e-02,-2.964009209397e-02,3.201313539668e-02
2675,-7.951621668513e+01,-1.122590766243e+01,3.200000000000e+01,-1.360124741633e-01,4.060099953839e-02,1.419430670781e-01
2676,-7.838468134248e+01,-8.876250312430e+00,3.200000000000e+01,5.511778606068e-03,-3.948812395770e-02,3.987093724884e-02
2677,-8.042363757580e+01,-1.050226364961e+01,3.200000000000e+01,-2.438030185911e-02,-9.826768683216e-03,2.628620363413e-02
2678,-7.951621668513e+01,-8.617984754428e+00,3.200000000000e+01,1.595469760516e-02,-2.656981359732e-02,3.099205334063e-02
2679,-8.042363757580e+01,-9.341628767255e+00,3.200000000000e+01,1.068467038380e-03,-1.144862521689e-02,1.149837558827e-02
2680,-7.876880963025e+01,-7.790165421154e+00,3.383333333333e+01,3.023810206460e-02,-9.406887968004e-01,9.411746677648e-01
2681,-7.876880963025e+01,-7.790165421154e+00,3.316666666667e+01,1.366713289994e-01,-6.218636554633e+00,6.220138234058e+00
2682,-7.913536507175e+01,-7.712828353247e+00,3.350000000000e+01,9.380782441079e-02,-1.556768362391e+00,1.559592139651e+00
2683,-7.840225418874e+01,-7.867502489061e+00,3.350000000000e+01,4.841192164658e-03,-1.136094402330e+00,1.136104717069e+00
2684,-7.743715968907e+01,-3.053964965931e+00,3.350000000000e+01,-4.596843070578e-01,-7.828085929859e+00,7.841571206551e+00
2685,-7.806659307809e+01,-3.053964965931e+00,3.350000000000e+01,-5.771389985988e-02,-1.306705585050e+00,1.307979502988e+00
2686,-7.775187638358e+01,-3.053964965931e+00,3.316666666667e+01,-5.912596809484e-02,-1.276415733626e+00,1.277784412627e+00
2687,-7.775187638358e+01,-3.053964965931e+00,3.383333333333e+01,-1.015466222282e-01,-2.461142766871e+00,2.463236780215e+00
2688,-7.822395142534e+01,-6.304437511431e+00,3.366666666667e+01,-4.725360625701e-03,6.836510351948e-03,8.310650205322e-03
2689,-7.822395142534e+01,-4.679201238681e+00,3.333333333333e+01,-1.425758883296e-02,-1.299803855643e-01,1.307600071534e-01
2690,-7.727980134182e+01,-4.978213283563e+00,3.366666666667e+01,-9.054276619916e-03,-6.374655877946e-03,1.107321826174e-02
2691,-7.727980134182e+01,-6.902461601195e+00,3.333333333333e+01,-3.219380073268e-03,5.393285694760e-04,3.264243153015e-03
2692,-7.895354370881e+01,-8.469718932057e+00,3.400000000000e+01,5.505013061459e-02,-1.506505200069e-01,1.603935661398e-01
2693,-7.827227157280e+01,-8.846068044846e+00,3.400000000000e+01,7.216121223717e-02,-1.818193032711e-01,1.956156936279e-01
2694,-7.783883882133e+01,-1.010759735445e+01,3.400000000000e+01,1.228455822118e-01,-1.090219660941e-01,1.642462363647e-01
2695,-7.961664008685e+01,-8.469718932057e+00,3.400000000000e+01,4.790108703354e-02,-1.282259968912e-01,1.368810447715e-01
2696,-7.786589222885e+01,-9.430135361921e+00,3.400000000000e+01,2.748748380371e-02,-8.844218338087e-02,9.261523399006e-02
2697,-7.810452424388e+01,-1.076027099359e+01,3.400000000000e+01,4.576816085513e-02,-5.528157292459e-02,7.176891285980e-02
2698,-7.948356907494e+01,-1.122863446031e+01,3.400000000000e+01,-2.387716181009e-02,-2.520318611451e-03,2.400980762123e-02
2699,-8.010767128124e+01,-8.687482454258e+00,3.400000000000e+01,8.338940080159e-03,-1.354365518684e-01,1.356930267319e-01
2700,-8.034945478246e+01,-1.073633855277e+01,3.400000000000e+01,-5.962067059377e-02,-1.333374276525e-01,1.460598985863e-01
2701,-8.068969488462e+01,-9.835667599479e+00,3.400000000000e+01,-4.556259094412e-03,-2.069972746804e-01,2.070474129808e-01
2702,-7.861692176546e+01,-1.117248786707e+01,3.400000000000e+01,2.971814304879e-02,-4.412456461945e-02,5.319910928883e-02
2703,-8.067980271139e+01,-1.026777197860e+01,3.400000000000e+01,2.814047336241e-02,-1.442320246842e+00,1.442594738897e+00
2704,-8.049098020350e+01,-9.151773078474e+00,3.400000000000e+01,-1.020243156044e-02,-4.651030775785e-02,4.761615626523e-02
2705,-7.759451803633e+01,-6.603449556313e+00,3.400000000000e+01,-9.219674044952e-03,2.869318781233e-02,3.013803935775e-02
2706,-8.307368148131e+01,-8.801307542785e+00,3.400000000000e+01,7.844337016993e-03,-5.292393263356e-03,9.462718937503e-03
2707,-8.318501719865e+01,-1.092768911526e+01,3.400000000000e+01,-1.498190761687e-02,8.837151632647e-03,1.739404509649e-02
2708,-7.633080051804e+01,-1.538083059815e+01,3.400000000000e+01,-5.637469798826e-02,-7.557378462984e-02,9.428416355118e-02
2709,-7.554831011566e+01,-1.137962973403e+01,3.400000000000e+01,6.221736206659e-04,-4.718411693538e-03,4.759255080785e-03
2710,-7.547614033602e+01,-9.681875735404e+00,3.400000000000e+01,5.814243115444e-03,-1.860245076246e-02,1.948991014282e-02
2711,-7.790923473083e+01,-4.679201238681e+00,3.400000000000e+01,-2.030502781327e-02,-4.521013934200e-02,4.956057761791e-02
2712,-8.036094275706e+01,-6.227100443524e+00,3.400000000000e+01,-6.384988386403e-03,-2.682029914895e-02,2.756984807963e-02
2713,-7.573971286265e+01,-8.241102040312e+00,3.400000000000e+01,8.287658828980e-02,-2.352116207716e-02,8.614971823527e-02
2714,-7.456220702874e+01,-6.874943286485e+00,3.400000000000e+01,-2.067056106176e-02,-1.315554038834e-03,2.071238221540e-02
2715,-8.134899681589e+01,-4.679201238681e+00,3.400000000000e+01,-2.642038038763e-02,-1.608786718184e-02,3.093308859922e-02
2716,-8.195931346363e+01,-7.068414370640e+00,3.400000000000e+01,3.196437826149e-02,-5.732325661305e-02,6.563289744000e-02
2717,-8.371906944309e+01,-6.389183018242e+00,3.400000000000e+01,-6.367401664939e-02,-4.088164831378e-02,7.566828638947e-02
2718,-8.514297685617e+01,-9.239081994384e+00,3.400000000000e+01,-3.558129929545e-02,-3.882504015464e-02,5.266319969924e-02
2719,-8.483209656478e+01,-1.241273622164e+01,3.400000000000e+01,-1.615813699403e-02,-2.828896525168e-02,3.257838157626e-02
2720,-8.193880016865e+01,-1.289082550578e+01,3.400000000000e+01,3.655480569044e-03,1.287384899288e-03,3.875551324595e-03
