//	DATA WITHOUT WARRANTY	D.Andreuccetti, R.Fossi and C.Petrucci: An Internet resource for the calculation of the dielectric properties of body tissues in the frequency range 10 Hz - 100 GHz. IFAC-CNR, Florence (Italy), 1997. Based on data published by C.Gabriel et al. in 1996. [Online]. Available: http://niremf.ifac.cnr.it/tissprop/
//
//	VALUES MUST BE DELIVERED IN THE UNITS GIVEN BELOW
//
Tissue                  	Rho    	K      	HeatCap 	BldFlow 	Metabol 	epsInf	deltaEps1	tau1   	alpha1	deltaEps2	tau2    	alpha2	sigmaIon	deltaEps3	tau3    	alpha3	deltaEps4	tau4   	alpha4
                        	[kg/m3]	[W/m K]	[J/kg K]	[W/m3 K]	[W/m3]  	      	         	[ps]   	      	         	[ns]    	      	        	         	[mus]   	      	         	[ms]   	
//
Trachea                 	1100	0.5 	3600    	9.00E+03	2.00E+03	2.500 	38.00    	7.958  	0.100 	400      	63.662  	0.100 	0.300   	5.00E+4  	15.915  	0.200 	1.00E+6  	15.915 	0.000
Ureter                  	1060	0.5 	3400    	9.00E+03	2.00E+03	2.500 	16.00    	8.842  	0.100 	400      	159.155 	0.100 	0.200   	1.00E+5  	159.155 	0.200 	1.00E+7  	15.915 	0.000
Urinary bladder contents	1010	0.5 	4200    	0       	0       	2.500 	16.00    	8.842  	0.100 	400      	159.155 	0.100 	0.200   	1.00E+5  	159.155 	0.200 	1.00E+7  	15.915 	0.000
Urinary bladder wall    	1040	0.6 	3500    	9.00E+03	2.00E+03	2.500 	16.00    	8.842  	0.100 	400      	159.155 	0.100 	0.200   	1.00E+5  	159.155 	0.200 	1.00E+7  	15.915 	0.000
Uterus Cervix           	1080	0.5 	3600    	3.00E+03	5.00E+02	4.000 	55.00    	7.958  	0.100 	800      	31.831  	0.100 	0.200   	3.00E+5  	159.155 	0.200 	3.50E+7  	1.061  	0.000
Air inside body         	0   	0.02	1000    	0       	0       														
Mucosa anterior nasal   	1070	0.3 	3100    	9.00E+03	2.00E+03	4.000 	39.00    	7.958  	0.100 	280      	79.577  	0.000 	0.000   	3.00E+4  	1.592   	0.160 	3.00E+4  	1.592  	0.200
Mucosa posterior nasal  	1070	0.3 	3100    	9.00E+03	2.00E+03	4.000 	39.00    	7.958  	0.100 	280      	79.577  	0.000 	0.000   	3.00E+4  	1.592   	0.160 	3.00E+4  	1.592  	0.200
Bone average            	1850	0.4 	1300    	3.00E+03	6.00E+02	2.500 	10.00    	13.263 	0.200 	180      	79.577  	0.200 	0.020   	5.00E+3  	159.155 	0.200 	1.00E+5  	15.915 	0.000
Kidney average          	1050	0.5 	3900    	3.00E+05	5.00E+04	4.000 	47.00    	7.958  	0.100 	3500     	198.944 	0.220 	0.050   	2.50E+5  	79.577  	0.220 	3.00E+7  	4.547  	0.000
BloodV                  	1050	0.5 	3800    	1.00E+06	0       	4.000 	56.00    	8.377  	0.100 	5200     	132.629 	0.100 	0.700   	0.00E+0  	159.155 	0.200 	0.00E+0  	15.915 	0.000
Cerebrospinal fluid     	1010	0.6 	4200    	0       	0       	4.000 	65.00    	7.958  	0.100 	40       	1.592   	0.000 	2.000   	0.00E+0  	159.155 	0.000 	0.00E+0  	15.915 	0.000
Ventricles              	1010	0.6 	4200    	0       	0       	4.000 	65.00    	7.958  	0.100 	40       	1.592   	0.000 	2.000   	0.00E+0  	159.155 	0.000 	0.00E+0  	15.915 	0.000
Brain grey matter       	1050	0.5 	3700    	4.00E+04	7.00E+03	4.000 	45.00    	7.958  	0.100 	400      	15.915  	0.150 	0.020   	2.00E+5  	106.103 	0.220 	4.50E+7  	5.305  	0.000
Brain white matter      	1040	0.5 	3600    	2.00E+04	7.00E+03	4.000 	32.00    	7.958  	0.100 	100      	7.958   	0.100 	0.020   	4.00E+4  	53.052  	0.300 	3.50E+7  	7.958  	0.020
Cerebellum              	1045	0.5 	3700    	4.00E+04	7.00E+03	4.000 	40.00    	7.958  	0.100 	700      	15.915  	0.150 	0.040   	2.00E+5  	106.103 	0.220 	4.50E+7  	5.305  	0.000
Bone ossicles           	1850	0.4 	1300    	3.00E+03	6.00E+02	2.500 	10.00    	13.263 	0.200 	180      	79.577  	0.200 	0.020   	5.00E+3  	159.155 	0.200 	1.00E+5  	15.915 	0.000
BloodA                  	1050	0.5 	3800    	1.00E+06	0       	4.000 	56.00    	8.377  	0.100 	5200     	132.629 	0.100 	0.700   	0.00E+0  	159.155 	0.200 	0.00E+0  	15.915 	0.000
Ligament                	1100	0.5 	3500    	4.00E+03	5.00E+02	4.000 	42.00    	12.243 	0.100 	60       	6.366   	0.100 	0.250   	6.00E+4  	318.310 	0.220 	2.00E+7  	1.326  	0.000
Tendon                  	1100	0.5 	3500    	4.00E+03	5.00E+02	4.000 	42.00    	12.243 	0.100 	60       	6.366   	0.100 	0.250   	6.00E+4  	318.310 	0.220 	2.00E+7  	1.326  	0.000
Blood vessel            	1060	0.46	3300    	1.00E+06	0       	4.000 	56.00    	8.377  	0.100 	5200     	132.629 	0.100 	0.700   	0.00E+0  	159.155 	0.200 	0.00E+0  	15.915 	0.000
